
5段階評価,1		過去（2年より前）に観た
,2		最近（2年以内）観た
,3		観たことはないが、今後観てみたい
,4		観たことはなく、今後観てみたいか観てみたくないか分からない
,5		観たことはないし、今後も観てみたいとは思わない


,,映画の点数,５段階評価

635人目への推薦結果
1位,ラストサムライ,0.784314,3
2位,禁じられた遊び,0.368627,4
3位,水戸黄門 天下の副将軍,0.290196,3
4位,マトリックス・レボリューションズ,0.209150,4
5位,天空の城ラピュタ,0.202614,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

636人目への推薦結果
1位,ラストサムライ,0.948276,5
2位,アナザヘヴン,0.852874,5
3位,オペラ座の怪人,0.512644,5
4位,アイ.ロボット,0.425287,5
5位,禁じられた遊び,0.378161,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

637人目への推薦結果
1位,オペラ座の怪人,0.631905,4
2位,禁じられた遊び,0.313333,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.250952,3
4位,天空の城ラピュタ,0.250952,4
5位,プライベート・ライアン,0.190952,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

638人目への推薦結果
1位,アナザヘヴン,2.120000,3
2位,禁じられた遊び,0.940000,5
3位,水戸黄門 天下の副将軍,0.740000,3
4位,リング0 バースデイ,0.500000,3
5位,メカゴジラの逆襲,0.380000,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

639人目への推薦結果
1位,天空の城ラピュタ,0.711364,5
2位,プライベート・ライアン,0.506818,5
3位,パラサイト・イヴ,0.218182,5
4位,ウォーターボーイズ,0.216667,5
5位,ゲロッパ!,0.135606,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

640人目への推薦結果
1位,アポロ13,0.288889,5
2位,禁じられた遊び,0.261111,5
3位,天空の城ラピュタ,0.241111,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.241111,5
5位,スター・ウォーズ,0.241111,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

641人目への推薦結果
1位,ラストサムライ,1.126984,3
2位,オペラ座の怪人,0.495238,5
3位,禁じられた遊び,0.323280,3
4位,マトリックス・レボリューションズ,0.270899,3
5位,水戸黄門 天下の副将軍,0.254497,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

642人目への推薦結果
1位,アナザヘヴン,0.929825,5
2位,禁じられた遊び,0.508772,4
3位,オペラ座の怪人,0.466667,3
4位,バトル・ロワイアル,0.454386,4
5位,ピアノ・レッスン,0.186842,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

643人目への推薦結果
1位,禁じられた遊び,0.447287,4
2位,マトリックス・レボリューションズ,0.198450,4
3位,プライベート・ライアン,0.161240,4
4位,ローマの休日,0.151938,3
5位,ショーシャンクの空に,0.130233,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

644人目への推薦結果
1位,水戸黄門 天下の副将軍,0.656757,5
2位,禁じられた遊び,0.296396,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.251351,3
4位,天空の城ラピュタ,0.251351,5
5位,ウォーターボーイズ,0.209910,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

645人目への推薦結果
1位,オペラ座の怪人,0.548718,3
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.264957,3
3位,天空の城ラピュタ,0.264957,5
4位,禁じられた遊び,0.261111,4
5位,水戸黄門 天下の副将軍,0.205556,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

646人目への推薦結果
1位,アイ.ロボット,0.462319,3
2位,バトル・ロワイアル,0.462319,3
3位,オペラ座の怪人,0.385507,3
4位,水戸黄門 天下の副将軍,0.340580,3
5位,日本沈没,0.205072,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

647人目への推薦結果
1位,オペラ座の怪人,0.624444,4
2位,禁じられた遊び,0.138519,5
3位,ピアノ・レッスン,0.133704,4
4位,スーパーの女,0.098519,5
5位,パラサイト・イヴ,0.097778,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

648人目への推薦結果
1位,ラストサムライ,1.000000,4
2位,マトリックス・レボリューションズ,0.266667,4
3位,天空の城ラピュタ,0.258333,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.258333,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.258333,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

649人目への推薦結果
1位,ラストサムライ,1.000000,3
2位,マトリックス・レボリューションズ,0.266667,5
3位,天空の城ラピュタ,0.258333,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.258333,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.258333,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

650人目への推薦結果
1位,スター・ウォーズ エピソード3/シスの復讐,0.319394,3
2位,アポロ13,0.240000,4
3位,禁じられた遊び,0.227879,4
4位,プライベート・ライアン,0.213939,4
5位,日本沈没,0.160000,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

651人目への推薦結果
1位,スター・ウォーズ エピソード1/ファントム・メナス,0.365455,3
2位,天空の城ラピュタ,0.365455,3
3位,プライベート・ライアン,0.305455,3
4位,ローマの休日,0.203636,3
5位,ショーシャンクの空に,0.174545,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

652人目への推薦結果
1位,オペラ座の怪人,0.495513,3
2位,バトル・ロワイアル,0.448718,3
3位,マトリックス・レボリューションズ,0.307692,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.298077,5
5位,日本沈没,0.173077,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

653人目への推薦結果
1位,ローマの休日,0.196491,5
2位,プライベート・ライアン,0.164035,5
3位,禁じられた遊び,0.154386,5
4位,パラサイト・イヴ,0.115789,5
5位,ピアノ・レッスン,0.108333,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

654人目への推薦結果
1位,マトリックス・レボリューションズ,0.219608,4
2位,天空の城ラピュタ,0.212745,4
3位,アポロ13,0.196078,5
4位,ローマの休日,0.178431,5
5位,ショーシャンクの空に,0.152941,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

655人目への推薦結果
1位,オペラ座の怪人,0.461317,4
2位,禁じられた遊び,0.135802,4
3位,プライベート・ライアン,0.132922,4
4位,時をかける少女,0.104938,4
5位,戦国自衛隊,0.101646,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

656人目への推薦結果
1位,ラストサムライ,1.066667,4
2位,天空の城ラピュタ,0.582222,4
3位,天空の城ラピュタ,0.582222,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.582222,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.582222,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

657人目への推薦結果
1位,ラストサムライ,1.131250,4
2位,オペラ座の怪人,0.566667,5
3位,天空の城ラピュタ,0.545833,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.545833,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.545833,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

658人目への推薦結果
1位,バトル・ロワイアル,0.395122,5
2位,オペラ座の怪人,0.370732,3
3位,ターミネーター2,0.341463,4
4位,ローマの休日,0.204878,5
5位,ショーシャンクの空に,0.175610,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

659人目への推薦結果
1位,禁じられた遊び,0.433333,4
2位,マトリックス・レボリューションズ,0.252121,3
3位,水戸黄門 天下の副将軍,0.246667,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.244242,3
5位,天空の城ラピュタ,0.244242,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

660人目への推薦結果
1位,禁じられた遊び,0.409690,4
2位,プライベート・ライアン,0.184884,3
3位,ローマの休日,0.173643,4
4位,ショーシャンクの空に,0.148837,3
5位,パラサイト・イヴ,0.097674,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

661人目への推薦結果
1位,リング0 バースデイ,0.559028,4
2位,禁じられた遊び,0.446528,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.322917,5
4位,天空の城ラピュタ,0.322917,5
5位,水戸黄門 天下の副将軍,0.231250,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

662人目への推薦結果
1位,天空の城ラピュタ,0.258333,3
2位,ウォーターボーイズ,0.183333,4
3位,アポロ13,0.177083,4
4位,プライベート・ライアン,0.141667,3
5位,禁じられた遊び,0.137500,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

663人目への推薦結果
1位,ラストサムライ,1.155172,4
2位,オペラ座の怪人,0.531609,3
3位,リング0 バースデイ,0.366667,4
4位,マトリックス・レボリューションズ,0.275862,3
5位,天空の城ラピュタ,0.267241,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

664人目への推薦結果
1位,アナザヘヴン,0.714607,3
2位,禁じられた遊び,0.316854,4
3位,12モンキーズ,0.101124,4
4位,パラサイト・イヴ,0.094382,5
5位,バトル・ロワイアル,0.089888,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

665人目への推薦結果
1位,ラストサムライ,0.992000,4
2位,オペラ座の怪人,0.486000,3
3位,アイ.ロボット,0.394667,4
4位,バトル・ロワイアル,0.394667,4
5位,マトリックス・レボリューションズ,0.234667,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

666人目への推薦結果
1位,オペラ座の怪人,0.615873,3
2位,禁じられた遊び,0.273545,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.262434,4
4位,天空の城ラピュタ,0.262434,3
5位,ピアノ・レッスン,0.177249,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

667人目への推薦結果
1位,オペラ座の怪人,0.572300,5
2位,水戸黄門 天下の副将軍,0.330986,3
3位,天空の城ラピュタ,0.305634,5
4位,日本沈没,0.209859,3
5位,パラサイト・イヴ,0.118310,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

668人目への推薦結果
1位,ラストサムライ,1.052381,3
2位,オペラ座の怪人,0.449206,3
3位,アイ.ロボット,0.352381,5
4位,禁じられた遊び,0.298413,5
5位,マトリックス・レボリューションズ,0.253968,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

669人目への推薦結果
1位,オペラ座の怪人,0.562092,4
2位,水戸黄門 天下の副将軍,0.399346,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.324183,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.324183,3
5位,日本沈没,0.239869,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

670人目への推薦結果
1位,オペラ座の怪人,0.608974,3
2位,水戸黄門 天下の副将軍,0.301282,3
3位,天空の城ラピュタ,0.251709,4
4位,アポロ13,0.160256,4
5位,プライベート・ライアン,0.138034,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

671人目への推薦結果
1位,水戸黄門 天下の副将軍,0.587421,4
2位,禁じられた遊び,0.295597,4
3位,マトリックス・レボリューションズ,0.221384,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.214465,3
5位,天空の城ラピュタ,0.214465,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

672人目への推薦結果
1位,ラストサムライ,1.254545,3
2位,天空の城ラピュタ,0.468939,5
3位,プライベート・ライアン,0.344697,5
4位,水戸黄門 天下の副将軍,0.284848,5
5位,マトリックス・レボリューションズ,0.169697,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

673人目への推薦結果
1位,天空の城ラピュタ,0.834167,3
2位,プライベート・ライアン,0.585833,5
3位,リング0 バースデイ,0.338333,5
4位,戦国自衛隊,0.275833,3
5位,パラサイト・イヴ,0.236667,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

674人目への推薦結果
1位,水戸黄門 天下の副将軍,0.524000,5
2位,リング0 バースデイ,0.409333,5
3位,禁じられた遊び,0.305333,5
4位,アポロ13,0.248000,5
5位,スウィングガールズ,0.240000,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

675人目への推薦結果
1位,禁じられた遊び,0.289231,3
2位,アポロ13,0.240513,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.222564,3
4位,スウィングガールズ,0.200000,3
5位,プライベート・ライアン,0.171282,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

676人目への推薦結果
1位,ラストサムライ,1.230769,3
2位,リング0 バースデイ,0.396581,3
3位,天空の城ラピュタ,0.317949,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.317949,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.317949,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

677人目への推薦結果
1位,禁じられた遊び,0.411111,4
2位,日本沈没,0.211852,4
3位,クレヨンしんちゃん ヘンダーランドの大冒険,0.183704,4
4位,最終兵器彼女,0.153333,5
5位,風の谷のナウシカ,0.153333,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

678人目への推薦結果
1位,ラストサムライ,1.000000,3
2位,リング0 バースデイ,0.544792,3
3位,禁じられた遊び,0.480208,5
4位,水戸黄門 天下の副将軍,0.269792,5
5位,マトリックス・レボリューションズ,0.266667,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

679人目への推薦結果
1位,ラストサムライ,1.000000,3
2位,天空の城ラピュタ,0.258333,4
3位,アポロ13,0.169271,3
4位,日本沈没,0.148958,3
5位,プライベート・ライアン,0.141667,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

680人目への推薦結果
1位,ローマの休日,0.196491,4
2位,パラサイト・イヴ,0.184649,5
3位,ショーシャンクの空に,0.168421,4
4位,禁じられた遊び,0.154386,4
5位,最終兵器彼女,0.105263,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

681人目への推薦結果
1位,ラストサムライ,2.024691,3
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.719753,5
3位,天空の城ラピュタ,0.719753,5
4位,プライベート・ライアン,0.513580,5
5位,水戸黄門 天下の副将軍,0.406173,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

682人目への推薦結果
1位,ターミネーター2,0.333333,3
2位,ルパン三世 カリオストロの城,0.055556,3
3位,7月4日に生まれて,0.055556,4
4位,Mr.インクレディブル,0.055556,4
5位,SHINOBI,0.044444,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

683人目への推薦結果
1位,禁じられた遊び,0.387065,4
2位,天空の城ラピュタ,0.246766,4
3位,ローマの休日,0.195025,4
4位,プライベート・ライアン,0.175124,4
5位,A.I.,0.125373,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

684人目への推薦結果
1位,水戸黄門 天下の副将軍,0.286854,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.261972,5
3位,天空の城ラピュタ,0.261972,4
4位,ローマの休日,0.157746,5
5位,アポロ13,0.152582,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

685人目への推薦結果
1位,オペラ座の怪人,0.438462,3
2位,禁じられた遊び,0.331410,5
3位,日本沈没,0.235256,4
4位,リング0 バースデイ,0.176282,4
5位,フランケンシュタイン,0.167308,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

686人目への推薦結果
1位,ラストサムライ,1.000000,4
2位,ターミネーター2,0.318182,4
3位,水戸黄門 天下の副将軍,0.284848,4
4位,マトリックス・レボリューションズ,0.266667,4
5位,天空の城ラピュタ,0.258333,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

687人目への推薦結果
1位,オペラ座の怪人,0.643820,3
2位,リング0 バースデイ,0.369288,4
3位,禁じられた遊び,0.140075,4
4位,ピアノ・レッスン,0.135206,5
5位,パラサイト・イヴ,0.112360,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

688人目への推薦結果
1位,バトル・ロワイアル,0.564583,4
2位,オペラ座の怪人,0.554167,3
3位,禁じられた遊び,0.293750,4
4位,ターミネーター2,0.250000,4
5位,水戸黄門 天下の副将軍,0.231250,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

689人目への推薦結果
1位,禁じられた遊び,0.456306,5
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.237387,5
3位,天空の城ラピュタ,0.237387,5
4位,プライベート・ライアン,0.184234,5
5位,マトリックス,0.124324,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

690人目への推薦結果
1位,ラストサムライ,1.222222,3
2位,水戸黄門 天下の副将軍,0.500926,3
3位,マトリックス・レボリューションズ,0.325926,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.315741,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.315741,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

691人目への推薦結果
1位,ラストサムライ,1.187719,5
2位,バトル・ロワイアル,0.476023,5
3位,マトリックス・レボリューションズ,0.280702,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.271930,5
5位,天空の城ラピュタ,0.271930,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

692人目への推薦結果
1位,天空の城ラピュタ,0.267451,5
2位,日本沈没,0.196078,3
3位,アポロ13,0.166667,5
4位,プライベート・ライアン,0.146667,5
5位,フランケンシュタイン,0.136471,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

693人目への推薦結果
1位,オペラ座の怪人,0.472889,3
2位,禁じられた遊び,0.469778,5
3位,ローマの休日,0.199111,4
4位,鉄道員,0.171556,4
5位,ピアノ・レッスン,0.171556,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

694人目への推薦結果
1位,ラストサムライ,1.294915,4
2位,オペラ座の怪人,0.620904,5
3位,アナザヘヴン,0.598870,4
4位,バトル・ロワイアル,0.501695,4
5位,スター・ウォーズ,0.297740,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

695人目への推薦結果
1位,ラストサムライ,0.931481,3
2位,アナザヘヴン,0.785185,3
3位,アイ.ロボット,0.411111,3
4位,バトル・ロワイアル,0.411111,5
5位,禁じられた遊び,0.348148,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

696人目への推薦結果
1位,アナザヘヴン,0.557895,4
2位,禁じられた遊び,0.247368,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.203947,3
4位,スター・ウォーズ,0.203947,4
5位,ウォーターボーイズ,0.171053,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

697人目への推薦結果
1位,ラストサムライ,1.644444,5
2位,スター・ウォーズ,0.601852,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.601852,4
4位,スター・ウォーズ エピソード2/クローンの攻撃,0.601852,3
5位,プライベート・ライアン,0.437037,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

698人目への推薦結果
1位,アイ.ロボット,0.357488,4
2位,禁じられた遊び,0.249758,5
3位,水戸黄門 天下の副将軍,0.196618,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.194686,4
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.194686,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

699人目への推薦結果
1位,アナザヘヴン,0.580100,5
2位,マトリックス・レボリューションズ,0.270647,3
3位,アポロ13,0.214925,3
4位,ウォーターボーイズ,0.213433,3
5位,スウィングガールズ,0.179104,5
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

700人目への推薦結果
1位,ラストサムライ,1.322857,5
2位,ターミネーター2,0.457143,5
3位,スター・ウォーズ,0.295238,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.295238,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.295238,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

701人目への推薦結果
1位,ラストサムライ,1.187342,3
2位,アナザヘヴン,0.536709,3
3位,バトル・ロワイアル,0.437131,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.274684,4
5位,スター・ウォーズ,0.274684,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

702人目への推薦結果
1位,ラストサムライ,0.740000,5
2位,禁じられた遊び,0.626667,4
3位,バトル・ロワイアル,0.493333,3
4位,水戸黄門 天下の副将軍,0.493333,3
5位,アイ.ロボット,0.493333,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

703人目への推薦結果
1位,ラストサムライ,0.615385,4
2位,リング0 バースデイ,0.408974,3
3位,ターミネーター2,0.346154,3
4位,ショーシャンクの空に,0.169231,3
5位,天空の城ラピュタ,0.158974,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

704人目への推薦結果
1位,ウォーターボーイズ,0.149263,3
2位,A.I.,0.095575,3
3位,パラサイト・イヴ,0.081416,5
4位,最終兵器彼女,0.079646,3
5位,許されざる者,0.067847,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

705人目への推薦結果
1位,ラストサムライ,1.006410,4
2位,アナザヘヴン,0.724786,3
3位,アイ.ロボット,0.474359,4
4位,禁じられた遊び,0.321368,4
5位,スター・ウォーズ,0.225214,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

706人目への推薦結果
1位,オペラ座の怪人,0.591111,5
2位,アナザヘヴン,0.588889,3
3位,アイ.ロボット,0.575556,5
4位,バトル・ロワイアル,0.575556,5
5位,リング0 バースデイ,0.525556,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

707人目への推薦結果
1位,バトル・ロワイアル,0.448485,4
2位,リング0 バースデイ,0.386667,4
3位,スター・ウォーズ エピソード2/クローンの攻撃,0.281818,3
4位,天空の城ラピュタ,0.281818,3
5位,ウォーターボーイズ,0.200000,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

708人目への推薦結果
1位,バトル・ロワイアル,0.464734,5
2位,マトリックス・レボリューションズ,0.231884,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.224638,5
4位,2001年宇宙の旅,0.224638,5
5位,ウォーターボーイズ,0.185990,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

709人目への推薦結果
1位,アナザヘヴン,0.831373,4
2位,禁じられた遊び,0.368627,3
3位,アイ.ロボット,0.349020,5
4位,バトル・ロワイアル,0.349020,4
5位,オペラ座の怪人,0.298039,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

710人目への推薦結果
1位,ラストサムライ,0.840000,3
2位,アイ.ロボット,0.493333,5
3位,禁じられた遊び,0.235000,4
4位,マトリックス・レボリューションズ,0.186667,4
5位,水戸黄門 天下の副将軍,0.185000,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

711人目への推薦結果
1位,ラストサムライ,1.168571,5
2位,アイ.ロボット,0.493333,5
3位,バトル・ロワイアル,0.493333,5
4位,マトリックス・レボリューションズ,0.274286,5
5位,禁じられた遊び,0.268571,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

712人目への推薦結果
1位,アナザヘヴン,0.623529,3
2位,アイ.ロボット,0.483660,3
3位,バトル・ロワイアル,0.483660,3
4位,禁じられた遊び,0.276471,5
5位,天空の城ラピュタ,0.263399,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

713人目への推薦結果
1位,ターミネーター2,0.351351,4
2位,スター・ウォーズ,0.223423,3
3位,2001年宇宙の旅,0.223423,3
4位,ウォーターボーイズ,0.158559,4
5位,ジョーズ2,0.128829,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

714人目への推薦結果
1位,ラストサムライ,1.166667,5
2位,オペラ座の怪人,0.564198,5
3位,アイ.ロボット,0.456790,5
4位,バトル・ロワイアル,0.456790,5
5位,禁じられた遊び,0.348148,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

715人目への推薦結果
1位,ラストサムライ,1.245455,5
2位,オペラ座の怪人,0.450505,5
3位,スター・ウォーズ,0.390909,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.390909,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.390909,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

716人目への推薦結果
1位,ラストサムライ,0.860000,3
2位,アナザヘヴン,0.565333,5
3位,アイ.ロボット,0.493333,5
4位,バトル・ロワイアル,0.493333,5
5位,禁じられた遊び,0.250667,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

717人目への推薦結果
1位,ターミネーター2,0.347826,5
2位,スター・ウォーズ,0.239614,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.239614,5
4位,スター・ウォーズ エピソード2/クローンの攻撃,0.239614,5
5位,ローマの休日,0.175845,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

718人目への推薦結果
1位,ラストサムライ,1.200000,4
2位,水戸黄門 天下の副将軍,0.529167,3
3位,2001年宇宙の旅,0.310000,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.310000,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.310000,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

719人目への推薦結果
1位,アナザヘヴン,0.495906,5
2位,禁じられた遊び,0.387135,5
3位,2001年宇宙の旅,0.199415,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.199415,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.199415,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

720人目への推薦結果
1位,オペラ座の怪人,0.738462,5
2位,アイ.ロボット,0.702564,5
3位,ターミネーター2,0.384615,5
4位,鉄道員,0.170513,5
5位,走れメロス,0.165385,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

721人目への推薦結果
1位,アナザヘヴン,0.809722,4
2位,水戸黄門 天下の副将軍,0.576389,3
3位,ターミネーター2,0.416667,5
4位,禁じられた遊び,0.359028,5
5位,アポロ13,0.247917,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

722人目への推薦結果
1位,ラストサムライ,0.870588,5
2位,オペラ座の怪人,0.660784,5
3位,アイ.ロボット,0.603922,5
4位,バトル・ロワイアル,0.603922,5
5位,ターミネーター2,0.235294,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

723人目への推薦結果
1位,ラストサムライ,1.032258,5
2位,2001年宇宙の旅,0.266667,5
3位,2001年宇宙の旅,0.266667,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.266667,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.266667,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

724人目への推薦結果
1位,ラストサムライ,0.926190,4
2位,アナザヘヴン,0.673016,4
3位,アイ.ロボット,0.411111,4
4位,禁じられた遊び,0.298413,3
5位,スター・ウォーズ,0.209127,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

725人目への推薦結果
